query_id,product_class,query_type,split,mode,top1_iou,r1_iou_0.3,temporal_ap_0.3,r1_iou_0.5,temporal_ap_0.5,r1_iou_0.7,temporal_ap_0.7
VQ-018,Espresso Machine,operation,development,hybrid,0.000000,0,0.333333,0,0.333333,0,0.333333
VQ-019,Espresso Machine,operation,development,hybrid,0.989881,1,0.810000,1,0.810000,1,0.810000
VQ-020,Espresso Machine,operation,development,hybrid,0.995370,1,0.833333,1,0.833333,1,0.833333
VQ-021,Espresso Machine,state,development,hybrid,0.000000,0,0.433333,0,0.433333,0,0.433333
VQ-022,Espresso Machine,state,development,hybrid,0.580511,1,0.529720,1,0.529720,0,0.285985
VQ-023,Espresso Machine,state,development,hybrid,0.000000,0,0.240741,0,0.240741,0,0.240741
VQ-024,Espresso Machine,component,development,hybrid,0.808427,1,0.585275,1,0.585275,1,0.650305
VQ-026,Espresso Machine,component,development,hybrid,1.000000,1,0.754167,1,0.731481,1,0.731481
VQ-027,Espresso Machine,maintenance,development,hybrid,0.000000,0,0.450000,0,0.450000,0,0.450000
VQ-029,Espresso Machine,maintenance,source_disjoint_test,hybrid,0.000000,0,0.200000,0,0.200000,0,
VQ-030,Espresso Machine,troubleshooting,source_disjoint_test,hybrid,0.795625,1,1.000000,1,1.000000,1,1.000000
VQ-035,Pressure Cooker,operation,development,hybrid,0.990228,1,0.584091,1,0.561772,1,0.557163
VQ-036,Pressure Cooker,operation,development,hybrid,0.000000,0,0.389683,0,0.332143,0,0.300000
VQ-037,Pressure Cooker,operation,development,hybrid,0.804350,1,0.568182,1,0.625000,1,0.694444
VQ-038,Pressure Cooker,state,development,hybrid,0.000000,0,0.314626,0,0.314626,0,0.250000
VQ-039,Pressure Cooker,state,development,hybrid,0.000000,0,0.201754,0,0.201754,0,0.201754
VQ-040,Pressure Cooker,state,development,hybrid,0.000000,0,0.211932,0,0.156439,0,0.156439
VQ-041,Pressure Cooker,component,development,hybrid,0.000000,0,0.000000,0,0.000000,0,
VQ-042,Pressure Cooker,component,development,hybrid,0.000000,0,0.388889,0,0.388889,0,0.388889
VQ-043,Pressure Cooker,component,development,hybrid,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-044,Pressure Cooker,maintenance,development,hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-046,Pressure Cooker,maintenance,source_disjoint_test,hybrid,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-047,Pressure Cooker,troubleshooting,source_disjoint_test,hybrid,0.000000,0,0.041667,0,0.041667,0,0.041667
VQ-049,Pressure Cooker,troubleshooting,source_disjoint_test,hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-050,Pressure Cooker,safety,source_disjoint_test,hybrid,0.000000,0,0.058824,0,0.058824,0,0.058824
VQ-052,Printer,operation,development,hybrid,0.000000,0,0.200000,0,,0,
VQ-053,Printer,operation,development,hybrid,0.800661,1,0.700000,1,0.700000,1,0.700000
VQ-054,Printer,operation,development,hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-055,Printer,state,development,hybrid,0.000000,0,0.333333,0,0.333333,0,0.333333
VQ-056,Printer,state,development,hybrid,0.599946,1,0.711395,1,0.711395,0,0.387698
VQ-057,Printer,state,development,hybrid,0.790788,1,0.642857,1,0.642857,1,0.642857
VQ-058,Printer,component,development,hybrid,0.000000,0,0.416667,0,,0,
VQ-059,Printer,component,development,hybrid,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-061,Printer,maintenance,development,hybrid,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-063,Printer,maintenance,source_disjoint_test,hybrid,1.000000,1,0.416667,1,0.416667,1,0.416667
VQ-065,Printer,troubleshooting,source_disjoint_test,hybrid,0.000000,0,0.125000,0,0.125000,0,0.125000
